MarketTrendID,ProductGroupID,TrendName,TrendDescription,TrendDate,ImpactLevel,Region,StartDate,EndDate,CreatedBy,DateCreated,IsActive
1,1,Hold Cause,Discussion protect find a value computer add should situation consumer foreign east.,2022-07-17,High,Australia,2023-11-08,2024-02-15,Elizabeth Christensen,2024-04-19,True
2,7,How Out,Feel start audience fact knowledge appear than because including camera into attack mouth particularly year teach.,2024-03-20,High,North America,2024-01-07,2024-06-14,Deborah Mckinney,2024-03-07,True
3,14,Lay Explain,Similar knowledge read general skill people spring truth little.,2021-12-21,High,Europe,2023-07-23,2024-01-31,Barbara Suarez,2023-10-19,False
4,7,Financial Kitchen,Indeed heavy test executive pattern allow standard beautiful community fall peace hospital help let good start special last rock analysis old.,2022-12-12,High,South America,2023-09-21,2024-06-08,Kimberly Martin,2023-12-12,True
5,7,Add No,Realize single top hot similar TV professional relationship continue technology simply day.,2023-01-31,Medium,South America,2024-05-27,2024-06-02,Jessica Ramsey,2024-06-09,True
6,7,So Whose,Accept water company institution sense may tax treat wonder particular about notice.,2023-10-23,Low,South America,2023-11-01,2024-05-21,Stephanie Green,2024-02-18,True
7,5,Imagine Onto,American order over research art read point matter view western four war significant TV him side shoulder.,2023-11-19,Low,South America,2023-08-18,2023-12-09,Mitchell Porter,2023-12-24,False
8,14,Save Nation,White pull range eye throughout receive kid hour require cold machine.,2020-02-26,Low,Africa,2023-11-06,2024-06-12,Tracy Johnson,2024-05-02,False
9,3,Family Ok,People page today street real energy finally student tonight expect kid church dog.,2021-11-13,Medium,North America,2024-02-04,2024-04-05,Troy Robertson,2024-06-09,False
10,13,Individual Then,Mother toward building hope wait public pretty its college picture reach body value fire will science major ball.,2020-01-08,Low,North America,2023-09-07,2023-11-23,William Randall,2024-02-03,False
11,15,Keep Believe,Indeed town address plant size order ball figure into rich.,2023-05-11,Medium,Australia,2024-05-29,2024-06-06,Katherine Wong,2024-06-03,False
