AccessID,CustomerID,AccessDate,AccessCategory,PageViewed,Duration,DeviceType,BrowserType,IP_Address,ReferrerURL,GeoLocation,SessionID
1,18,2023-12-21 10:09:30,Without,blog/main,448,Tablet,Safari,119.61.45.56,http://www.hardin.info/tagabout.html,Solomon Islands,9a38abb8-a867-4be5-a6f9-55a5f78611a1
2,70,2023-09-27 12:21:42,Move,search,568,Mobile,Safari,161.119.80.3,http://carter-randall.com/wp-content/category/apppost.htm,Monaco,6b14f506-f9b9-43a1-8af5-68187ef3f7c2
3,14,2024-03-31 20:18:48,Answer,tag/blog/app,574,Mobile,Safari,176.143.251.29,https://www.larson-austin.com/main/blog/categorypost.htm,Paraguay,9c8b8cf5-0143-4da1-ad5a-a31adec3ee3e
4,72,2023-06-28 21:09:14,Western,search/app/posts,235,Mobile,Edge,37.69.47.66,http://dawson.com/categories/tagcategory.html,Brazil,e6091e7a-a91b-4891-b196-2f948cff27df
5,94,2023-09-26 22:27:03,Case,main/main,325,Desktop,Safari,15.178.248.29,https://www.reyes-leonard.org/categories/appterms.asp,Senegal,2d9e5822-6698-4af3-9d15-ab5956743918
6,25,2024-05-05 15:28:41,Letter,main,268,Tablet,Edge,161.15.102.241,http://www.reilly-jones.com/tagindex.asp,Western Sahara,9c078495-6389-4215-bff1-c38c69d5e616
7,20,2024-03-04 11:18:01,Imagine,tag,166,Desktop,Safari,54.83.150.64,https://www.hartman-garcia.com/wp-content/blog/appmain.htm,Timor-Leste,12f62893-62c6-4c8a-abb5-0305d5895909
8,58,2024-03-13 05:32:27,If,explore/list/main,358,Tablet,Opera,190.125.120.34,http://miller.info/tagssearch.htm,Nigeria,98a87cc9-1123-4a6f-b113-c924c8110c14
9,19,2023-09-18 08:26:08,Turn,posts/tag/blog,6,Desktop,Chrome,170.180.180.173,http://www.meyers-hill.com/posts/categories/searchprivacy.htm,Aruba,4d18d269-8ec0-4b15-8557-b0de3a57c56f
10,90,2023-11-24 15:25:49,Pressure,tag/categories,219,Desktop,Edge,59.51.106.59,http://www.brown.com/tags/bloghomepage.htm,Morocco,47158528-3a48-431c-b78b-ca43b4423ba4
11,46,2024-01-16 12:47:48,Skill,tags,228,Mobile,Chrome,221.150.42.14,http://www.fowler-sims.com/tag/explore/taghome.php,Uganda,4c80f087-326c-4243-9264-073c0ec213b9
12,78,2023-08-31 09:40:38,Eat,search/posts/app,70,Mobile,Safari,158.36.150.59,http://hendrix-schmidt.info/posts/mainhomepage.php,Zimbabwe,283bb9f8-13bd-4990-a575-aed5c2b06ce3
13,22,2024-03-01 23:44:37,Southern,list/category/categories,100,Desktop,Opera,143.113.15.223,http://www.phillips.com/tag/categorieshome.html,Montserrat,61e42001-42d1-435f-8fd3-5c24d74c48be
14,40,2023-10-31 21:43:48,Population,search/blog/blog,528,Tablet,Firefox,161.173.207.157,http://gray-mckenzie.com/categoryregister.htm,Australia,ab52fb38-66b5-4e0d-8ae5-9a48ae1328d0
15,70,2024-05-05 03:42:58,Range,main,200,Tablet,Opera,58.227.36.142,http://www.ho-fields.com/app/posts/listpost.php,Reunion,f3c64f5c-5823-4967-a61f-b9c466c8721f
16,12,2023-08-15 04:29:21,Trade,tags/tags/list,424,Desktop,Chrome,8.232.106.239,http://www.taylor.com/listabout.php,French Polynesia,92ad6013-c4be-4807-9b5f-728dfafb3db6
17,38,2024-05-18 00:21:25,Ok,category/wp-content/explore,529,Tablet,Edge,25.80.128.38,http://www.doyle.com/main/tag/explorecategory.jsp,France,dbed6011-ff55-4c0c-b9cb-81c4e528782b
18,14,2023-07-21 22:49:55,Buy,category/category,169,Desktop,Firefox,39.240.240.173,http://walker.com/search/app/blogregister.htm,Somalia,322b970d-50d8-4c66-9051-7e6d2daf2f4d
19,76,2024-03-31 23:26:52,Consumer,tag,249,Tablet,Opera,41.246.209.15,https://smith.com/list/appprivacy.asp,Ukraine,b8e177b9-1bb2-40fa-9e51-a54333b0e019
20,53,2023-11-13 19:34:40,Bill,posts,12,Tablet,Chrome,146.176.154.13,http://www.gallegos.net/posts/wp-content/appterms.php,United Kingdom,5b47cc11-4f0b-437f-8935-657f54c560e8
21,30,2023-07-17 11:35:35,Receive,posts/posts,573,Tablet,Firefox,108.134.175.215,https://www.matthews.com/tag/categoryfaq.htm,Saint Martin,613362e6-81f9-4953-b8fd-7ffa9872e16d
22,73,2024-02-01 04:38:48,Understand,posts/wp-content,176,Desktop,Safari,31.211.43.181,http://patton.com/categories/search/postsprivacy.html,Swaziland,84d6e3c8-393b-4e95-a039-ea6900029f89
23,18,2023-10-27 12:20:28,Serve,search,18,Mobile,Firefox,123.255.94.178,https://white.info/category/category/tagspost.htm,Sri Lanka,d7c1ecab-c86b-47dd-b197-70bd7092c434
24,7,2023-06-23 01:43:39,Country,search/posts,289,Desktop,Safari,201.211.117.148,https://austin.com/explore/app/listsearch.html,San Marino,fab05912-8354-43c2-a9ea-94f526c9d780
25,95,2023-09-10 12:18:42,Entire,tags/main/posts,369,Mobile,Opera,143.76.52.48,http://smith.biz/wp-content/wp-contenthomepage.html,Saint Kitts and Nevis,eddef3ae-b95d-4676-b38e-7b9e9c828947
